date,video_id,object_id,behavior,x,y,width,height,area,center_x,center_y
2019_11_05,000002,0,investigating,196,299,240,121,29040,316.0,359.5
2019_11_05,000002,0,investigating,196,290,261,122,31842,326.5,351.0
2019_11_05,000002,0,investigating,196,283,251,190,47690,321.5,378.0
2019_11_05,000002,0,investigating,196,289,260,153,39780,326.0,365.5
2019_11_05,000002,0,investigating,196,289,274,132,36168,333.0,355.0
2019_11_05,000002,0,investigating,196,284,274,123,33702,333.0,345.5
2019_11_05,000002,0,investigating,196,284,270,123,33210,331.0,345.5
2019_11_05,000002,0,investigating,196,269,270,133,35910,331.0,335.5
2019_11_05,000002,0,nose-to-nose,196,270,270,117,31590,331.0,328.5
2019_11_05,000002,0,nose-to-nose,201,276,277,122,33794,339.5,337.0
2019_11_05,000002,0,nose-to-nose,221,276,269,114,30666,355.5,333.0
2019_11_05,000002,0,nose-to-nose,214,276,280,115,32200,354.0,333.5
2019_11_05,000002,0,walk,214,272,280,183,51240,354.0,363.5
2019_11_05,000002,0,walk,218,278,225,243,54675,330.5,399.5
2019_11_05,000002,0,walk,206,278,204,335,68340,308.0,445.5
2019_11_05,000002,0,walk,180,327,226,334,75484,293.0,494.0
2019_11_05,000002,0,walk,180,378,196,314,61544,278.0,535.0
2019_11_05,000002,0,walk,180,397,150,298,44700,255.0,546.0
2019_11_05,000002,0,walk,180,397,121,319,38599,240.5,556.5
2019_11_05,000002,0,investigating,180,385,121,331,40051,240.5,550.5
2019_11_05,000002,0,walk,180,385,104,316,32864,232.0,543.0
2019_11_05,000002,0,walk,180,385,164,300,49200,262.0,535.0
2019_11_05,000002,0,investigating,180,400,164,285,46740,262.0,542.5
2019_11_05,000002,0,investigating,180,400,158,285,45030,259.0,542.5
2019_11_05,000002,0,investigating,180,402,156,286,44616,258.0,545.0
2019_11_05,000002,0,drink,180,404,134,286,38324,247.0,547.0
2019_11_05,000002,0,drink,186,405,128,285,36480,250.0,547.5
2019_11_05,000002,0,drink,186,405,121,285,34485,246.5,547.5
2019_11_05,000002,0,drink,186,405,111,285,31635,241.5,547.5
2019_11_05,000002,0,drink,186,413,126,277,34902,249.0,551.5
2019_11_05,000002,0,drink,186,413,130,277,36010,251.0,551.5
2019_11_05,000002,0,drink,186,413,136,277,37672,254.0,551.5
2019_11_05,000002,0,drink,186,410,143,280,40040,257.5,550.0
2019_11_05,000002,0,drink,186,410,136,280,38080,254.0,550.0
2019_11_05,000002,0,drink,186,410,132,280,36960,252.0,550.0
2019_11_05,000002,0,drink,186,410,138,280,38640,255.0,550.0
2019_11_05,000002,0,drink,186,410,156,280,43680,264.0,550.0
2019_11_05,000002,0,standing,186,404,159,286,45474,265.5,547.0
2019_11_05,000002,0,standing,186,394,159,299,47541,265.5,543.5
2019_11_05,000002,0,standing,186,394,159,322,51198,265.5,555.0
2019_11_05,000002,0,standing,186,394,165,322,53130,268.5,555.0
2019_11_05,000002,0,standing,186,388,173,328,56744,272.5,552.0
2019_11_05,000002,0,standing,186,388,160,328,52480,266.0,552.0
2019_11_05,000002,0,standing,186,368,114,348,39672,243.0,542.0
2019_11_05,000002,0,walk,186,345,86,312,26832,229.0,501.0
2019_11_05,000002,0,walk,186,290,71,314,22294,221.5,447.0
2019_11_05,000002,0,walk,186,264,74,298,22052,223.0,413.0
2019_11_05,000002,0,walk,186,253,206,219,45114,289.0,362.5
2019_11_05,000002,0,walk,186,262,238,179,42602,305.0,351.5
2019_11_05,000002,0,walk,186,265,305,145,44225,338.5,337.5
2019_11_05,000002,0,run,366,288,310,104,32240,521.0,340.0
2019_11_05,000002,0,run,637,314,213,94,20022,743.5,361.0
2019_11_05,000002,0,run,803,314,220,84,18480,913.0,356.0
2019_11_05,000002,0,run,959,322,146,82,11972,1032.0,363.0
2019_11_05,000002,0,walk,1019,304,131,123,16113,1084.5,365.5
2019_11_05,000002,0,walk,1020,299,103,150,15450,1071.5,374.0
2019_11_05,000002,0,run,903,327,188,81,15228,997.0,367.5
2019_11_05,000002,0,run,841,325,180,77,13860,931.0,363.5
2019_11_05,000002,0,run,749,349,189,81,15309,843.5,389.5
2019_11_05,000002,0,run,649,291,192,172,33024,745.0,377.0
2019_11_05,000002,0,run,609,212,138,252,34776,678.0,338.0
2019_11_05,000002,0,nose-poke-elsewhere,598,164,147,196,28812,671.5,262.0
2019_11_05,000002,0,nose-poke-elsewhere,553,144,205,159,32595,655.5,223.5
2019_11_05,000002,0,nose-poke-elsewhere,543,144,202,137,27674,644.0,212.5
2019_11_05,000002,0,nose-poke-elsewhere,537,167,202,112,22624,638.0,223.0
