epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.599,2.58703,3.55961,2.65457,0,0,0,0,0,0,0,0.0706667,0.00325926,0.00325926
2,550.525,2.82579,3.50697,2.87603,0,0,0,0,0,0,0,0.0404491,0.00637504,0.00637504
3,825.464,2.54628,3.38404,2.69345,0.00333,1,0.00338,0.00101,2.84132,6.55732e+06,286692,0.0100116,0.00927081,0.00927081
4,1100.89,2.50328,3.18797,2.69136,0.00333,1,0.00337,0.00101,2.84132,1.16389e+07,40493.9,0.00901,0.00901,0.00901
5,1376.35,2.39477,3.32475,2.61523,0,0,0,0,0,21414.1,0,0.00868,0.00868,0.00868
6,1654.35,2.50184,3.18452,2.67678,0,0,0,0,0,2e-05,0,0.00835,0.00835,0.00835
7,1929.05,2.30635,2.925,2.50536,0.0176,0.01111,0.00177,0.00035,0.27766,7.32243,0.60506,0.00802,0.00802,0.00802
8,2204.86,2.20734,2.92939,2.49905,0.00373,0.34444,0.00291,0.00038,1.79905,7898.53,15.267,0.00769,0.00769,0.00769
9,2488.72,2.11534,2.87452,2.37149,0.00127,0.35556,0.00086,0.00017,3.9318,671.156,109.793,0.00736,0.00736,0.00736
10,2762.49,2.05473,2.76733,2.3355,0.01348,0.65,0.01129,0.00474,2.36384,173.839,3.76264,0.00703,0.00703,0.00703
11,3036.56,2.0498,2.75519,2.35639,0.00331,0.75,0.00288,0.00103,2.63227,768.984,5.89293,0.0067,0.0067,0.0067
12,3309.75,2.00626,2.72843,2.31825,0.40789,0.36667,0.27408,0.10608,2.38945,6.20817,3.51134,0.00637,0.00637,0.00637
13,3583.08,1.96511,2.78285,2.29541,0.30449,0.5,0.27536,0.14194,1.67375,3.63123,2.35637,0.00604,0.00604,0.00604
14,3857.63,1.91402,2.69126,2.20778,0.50517,0.36667,0.33389,0.17444,1.65598,3.27029,2.39135,0.00571,0.00571,0.00571
15,4134.1,1.9423,2.73364,2.29655,0.0868,0.61667,0.13635,0.05555,1.84962,3.60099,2.76329,0.00538,0.00538,0.00538
16,4418.39,1.86016,2.56989,2.20801,0.45777,0.34444,0.32517,0.17896,1.68796,3.57186,2.3517,0.00505,0.00505,0.00505
17,4704,1.89235,2.62039,2.24777,0.66177,0.33333,0.39952,0.26315,1.65739,2.60002,2.41839,0.00472,0.00472,0.00472
18,4987.43,1.81844,2.39303,2.19733,0.18368,0.32222,0.14369,0.06974,1.7324,2.85158,2.46427,0.00439,0.00439,0.00439
19,5263.23,1.77868,2.36039,2.17621,0.51908,0.32778,0.314,0.14168,1.90128,2.56238,2.73527,0.00406,0.00406,0.00406
20,5538.49,1.79791,2.34876,2.16253,0.54583,0.33333,0.40837,0.21849,1.39509,2.401,2.19898,0.00373,0.00373,0.00373
21,5812.75,1.64113,2.4737,2.27388,0.25549,0.35556,0.26172,0.12041,1.99738,2.85328,2.80444,0.0034,0.0034,0.0034
22,6088.49,1.57733,2.46856,2.18291,0.55437,0.39394,0.50681,0.2491,1.42919,2.27072,2.14784,0.00307,0.00307,0.00307
23,6362.51,1.57228,2.38222,2.19181,0.75275,0.31111,0.45371,0.27715,1.82045,2.38628,2.68511,0.00274,0.00274,0.00274
24,6642.05,1.54879,2.41166,2.19322,0.07787,0.47222,0.08836,0.04019,1.99537,3.39507,2.9206,0.00241,0.00241,0.00241
25,6911.97,1.47692,2.42024,2.17758,0.24977,0.26667,0.26459,0.13006,1.43495,3.17521,2.17087,0.00208,0.00208,0.00208
26,7182.89,1.35427,2.19477,2.01592,0.76859,0.32222,0.4748,0.2822,1.32231,2.56347,2.09052,0.00175,0.00175,0.00175
27,7455.69,1.38783,2.22341,2.10075,0.7826,0.41999,0.53275,0.36878,1.34813,2.18345,2.13347,0.00142,0.00142,0.00142
28,7728.35,1.37926,2.10144,2.01816,0.69668,0.41111,0.53473,0.38066,1.27438,2.04055,2.05601,0.00109,0.00109,0.00109
29,7999.19,1.31426,2.14782,2.00695,0.73694,0.38908,0.52347,0.38023,1.11084,2.02048,1.95476,0.00076,0.00076,0.00076
30,8270.17,1.28278,2.1111,1.97416,0.64846,0.38333,0.52333,0.3786,1.13095,1.95833,1.95974,0.00043,0.00043,0.00043
